image_id,stored_at
stadium_041,2023-03-16 09:43:18.780346
freeway_050,2023-03-16 09:43:22.412807
freeway_044,2023-03-16 09:43:26.393286
rectangular_farmland_041,2023-03-16 09:43:29.609746
island_040,2023-03-16 09:43:32.996738
island_054,2023-03-16 09:43:36.079692
industrial_area_033,2023-03-16 09:43:39.416226
forest_051,2023-03-16 09:43:42.616226
forest_045,2023-03-16 09:43:45.505017
industrial_area_027,2023-03-16 09:43:48.788915
forest_044,2023-03-16 09:43:51.874881
industrial_area_026,2023-03-16 09:43:54.966668
industrial_area_032,2023-03-16 09:43:58.106317
forest_050,2023-03-16 09:44:01.385825
island_041,2023-03-16 09:44:04.289228
rectangular_farmland_040,2023-03-16 09:44:07.566229
rectangular_farmland_054,2023-03-16 09:44:11.145142
freeway_045,2023-03-16 09:44:14.624453
freeway_051,2023-03-16 09:44:18.250958
stadium_054,2023-03-16 09:44:21.417115
stadium_040,2023-03-16 09:44:24.791761
stadium_042,2023-03-16 09:44:27.698732
freeway_047,2023-03-16 09:44:31.079451
freeway_053,2023-03-16 09:44:34.246276
rectangular_farmland_042,2023-03-16 09:44:37.363686
island_043,2023-03-16 09:44:40.735336
industrial_area_018,2023-03-16 09:44:44.204910
industrial_area_024,2023-03-16 09:44:47.169272
forest_046,2023-03-16 09:44:50.371140
forest_052,2023-03-16 09:44:53.698337
industrial_area_030,2023-03-16 09:44:57.148194
forest_053,2023-03-16 09:45:00.428521
industrial_area_031,2023-03-16 09:45:03.837722
industrial_area_025,2023-03-16 09:45:06.727458
forest_047,2023-03-16 09:45:10.037836
industrial_area_019,2023-03-16 09:45:13.645747
island_042,2023-03-16 09:45:17.141267
rectangular_farmland_043,2023-03-16 09:45:21.711858
freeway_052,2023-03-16 09:45:25.026953
freeway_046,2023-03-16 09:45:28.115091
stadium_043,2023-03-16 09:45:31.743650
freeway_042,2023-03-16 09:45:35.501880
stadium_053,2023-03-16 09:45:44.866441
stadium_047,2023-03-16 09:45:49.005439
rectangular_farmland_047,2023-03-16 09:45:52.853325
rectangular_farmland_053,2023-03-16 09:45:56.566558
island_052,2023-03-16 09:46:00.442462
island_046,2023-03-16 09:46:04.038285
forest_043,2023-03-16 09:46:07.582451
industrial_area_021,2023-03-16 09:46:10.858948
industrial_area_035,2023-03-16 09:46:14.506561
industrial_area_009,2023-03-16 09:46:17.916525
industrial_area_008,2023-03-16 09:46:21.015175
industrial_area_034,2023-03-16 09:46:24.662795
forest_042,2023-03-16 09:46:28.074903
industrial_area_020,2023-03-16 09:46:31.441193
island_047,2023-03-16 09:46:34.758801
island_053,2023-03-16 09:46:38.046236
rectangular_farmland_052,2023-03-16 09:46:41.116847
rectangular_farmland_046,2023-03-16 09:46:44.380142
stadium_046,2023-03-16 09:46:48.194211
stadium_052,2023-03-16 09:46:51.682271
freeway_043,2023-03-16 09:46:56.121759
freeway_041,2023-03-16 09:47:00.004787
stadium_044,2023-03-16 09:47:03.260572
stadium_050,2023-03-16 09:47:06.700147
rectangular_farmland_050,2023-03-16 09:47:10.185717
rectangular_farmland_044,2023-03-16 09:47:14.350565
island_045,2023-03-16 09:47:17.953197
island_051,2023-03-16 09:47:21.579178
forest_054,2023-03-16 09:47:28.670004
industrial_area_036,2023-03-16 09:47:31.869838
industrial_area_022,2023-03-16 09:47:36.658228
forest_040,2023-03-16 09:47:40.194342
industrial_area_023,2023-03-16 09:47:43.719206
forest_041,2023-03-16 09:47:47.115782
industrial_area_037,2023-03-16 09:47:50.664804
island_050,2023-03-16 09:47:53.764241
island_044,2023-03-16 09:47:57.541905
rectangular_farmland_045,2023-03-16 09:48:00.994977
rectangular_farmland_051,2023-03-16 09:48:04.495473
stadium_051,2023-03-16 09:48:08.033214
stadium_045,2023-03-16 09:48:11.487383
freeway_040,2023-03-16 09:48:14.656046
freeway_054,2023-03-16 09:48:18.163371
stadium_022,2023-03-16 09:48:22.561577
stadium_036,2023-03-16 09:48:26.241979
freeway_033,2023-03-16 09:48:30.037230
freeway_027,2023-03-16 09:48:33.975686
rectangular_farmland_036,2023-03-16 09:48:38.927190
rectangular_farmland_022,2023-03-16 09:48:42.740560
island_023,2023-03-16 09:48:46.846272
island_037,2023-03-16 09:48:51.399026
forest_032,2023-03-16 09:48:56.364300
industrial_area_050,2023-03-16 09:49:01.470259
industrial_area_044,2023-03-16 09:49:04.892884
forest_026,2023-03-16 09:49:10.114904
industrial_area_045,2023-03-16 09:49:13.881530
forest_027,2023-03-16 09:49:19.200244
