image_id,stored_at
stadium_041,2023-03-16 09:43:18.671267
freeway_050,2023-03-16 09:43:22.318674
freeway_044,2023-03-16 09:43:26.296817
rectangular_farmland_041,2023-03-16 09:43:29.547671
island_040,2023-03-16 09:43:32.928223
island_054,2023-03-16 09:43:36.024291
industrial_area_033,2023-03-16 09:43:39.347378
forest_051,2023-03-16 09:43:42.561038
forest_045,2023-03-16 09:43:45.451378
industrial_area_027,2023-03-16 09:43:48.732780
forest_044,2023-03-16 09:43:51.821694
industrial_area_026,2023-03-16 09:43:54.882047
industrial_area_032,2023-03-16 09:43:58.052727
forest_050,2023-03-16 09:44:01.329656
island_041,2023-03-16 09:44:04.226982
rectangular_farmland_040,2023-03-16 09:44:07.507387
rectangular_farmland_054,2023-03-16 09:44:11.091541
freeway_045,2023-03-16 09:44:14.575002
freeway_051,2023-03-16 09:44:18.196412
stadium_054,2023-03-16 09:44:21.356588
stadium_040,2023-03-16 09:44:24.729331
stadium_042,2023-03-16 09:44:27.641412
freeway_047,2023-03-16 09:44:31.018869
freeway_053,2023-03-16 09:44:34.192485
rectangular_farmland_042,2023-03-16 09:44:37.306658
island_043,2023-03-16 09:44:40.683995
industrial_area_018,2023-03-16 09:44:44.140062
industrial_area_024,2023-03-16 09:44:47.121850
forest_046,2023-03-16 09:44:50.305287
forest_052,2023-03-16 09:44:53.638934
industrial_area_030,2023-03-16 09:44:57.088125
forest_053,2023-03-16 09:45:00.371839
industrial_area_031,2023-03-16 09:45:03.769877
industrial_area_025,2023-03-16 09:45:06.679354
forest_047,2023-03-16 09:45:09.964346
industrial_area_019,2023-03-16 09:45:13.575090
island_042,2023-03-16 09:45:17.087365
rectangular_farmland_043,2023-03-16 09:45:21.639171
freeway_052,2023-03-16 09:45:24.973936
freeway_046,2023-03-16 09:45:27.966228
stadium_043,2023-03-16 09:45:31.675193
freeway_042,2023-03-16 09:45:35.420569
stadium_053,2023-03-16 09:45:44.748765
stadium_047,2023-03-16 09:45:48.950929
rectangular_farmland_047,2023-03-16 09:45:52.775727
rectangular_farmland_053,2023-03-16 09:45:56.510581
island_052,2023-03-16 09:46:00.376631
island_046,2023-03-16 09:46:03.961311
forest_043,2023-03-16 09:46:07.501222
industrial_area_021,2023-03-16 09:46:10.802439
industrial_area_035,2023-03-16 09:46:14.450415
industrial_area_009,2023-03-16 09:46:17.861240
industrial_area_008,2023-03-16 09:46:20.947782
industrial_area_034,2023-03-16 09:46:24.597746
forest_042,2023-03-16 09:46:28.018802
industrial_area_020,2023-03-16 09:46:31.377740
island_047,2023-03-16 09:46:34.699401
island_053,2023-03-16 09:46:37.989843
rectangular_farmland_052,2023-03-16 09:46:41.050542
rectangular_farmland_046,2023-03-16 09:46:44.319843
stadium_046,2023-03-16 09:46:48.122491
stadium_052,2023-03-16 09:46:51.607100
freeway_043,2023-03-16 09:46:56.024503
freeway_041,2023-03-16 09:46:59.911134
stadium_044,2023-03-16 09:47:03.183242
stadium_050,2023-03-16 09:47:06.630039
rectangular_farmland_050,2023-03-16 09:47:10.125014
rectangular_farmland_044,2023-03-16 09:47:14.244328
island_045,2023-03-16 09:47:17.847517
island_051,2023-03-16 09:47:21.500997
forest_054,2023-03-16 09:47:28.611617
industrial_area_036,2023-03-16 09:47:31.823854
industrial_area_022,2023-03-16 09:47:36.600782
forest_040,2023-03-16 09:47:40.141287
industrial_area_023,2023-03-16 09:47:43.650930
forest_041,2023-03-16 09:47:47.059135
industrial_area_037,2023-03-16 09:47:50.608766
island_050,2023-03-16 09:47:53.716231
island_044,2023-03-16 09:47:57.374650
rectangular_farmland_045,2023-03-16 09:48:00.929991
rectangular_farmland_051,2023-03-16 09:48:04.432165
stadium_051,2023-03-16 09:48:07.973314
stadium_045,2023-03-16 09:48:11.426664
freeway_040,2023-03-16 09:48:14.596095
freeway_054,2023-03-16 09:48:18.098006
stadium_022,2023-03-16 09:48:22.487733
stadium_036,2023-03-16 09:48:26.170166
freeway_033,2023-03-16 09:48:29.965134
freeway_027,2023-03-16 09:48:33.888227
rectangular_farmland_036,2023-03-16 09:48:38.799728
rectangular_farmland_022,2023-03-16 09:48:42.655875
island_023,2023-03-16 09:48:46.756725
island_037,2023-03-16 09:48:51.261117
forest_032,2023-03-16 09:48:56.186828
industrial_area_050,2023-03-16 09:49:01.367831
industrial_area_044,2023-03-16 09:49:04.840638
forest_026,2023-03-16 09:49:10.038031
industrial_area_045,2023-03-16 09:49:13.830215
forest_027,2023-03-16 09:49:19.117556
forest_033,2023-03-16 09:49:22.934557
industrial_area_051,2023-03-16 09:49:26.582177
island_036,2023-03-16 09:49:30.466602
island_022,2023-03-16 09:49:33.674372
rectangular_farmland_023,2023-03-16 09:49:37.027161
rectangular_farmland_037,2023-03-16 09:49:40.368704
freeway_026,2023-03-16 09:49:44.079527
freeway_032,2023-03-16 09:49:47.374362
stadium_037,2023-03-16 09:49:50.665204
stadium_023,2023-03-16 09:49:53.751184
stadium_035,2023-03-16 09:49:57.149725
freeway_018,2023-03-16 09:50:00.711470
stadium_021,2023-03-16 09:50:04.091065
stadium_009,2023-03-16 09:50:07.652902
freeway_024,2023-03-16 09:50:11.249025
freeway_030,2023-03-16 09:50:14.543272
rectangular_farmland_009,2023-03-16 09:50:18.159569
rectangular_farmland_021,2023-03-16 09:50:21.644688
rectangular_farmland_035,2023-03-16 09:50:25.070866
island_034,2023-03-16 09:50:28.644515
island_020,2023-03-16 09:50:32.298373
island_008,2023-03-16 09:50:35.576017
forest_019,2023-03-16 09:50:39.264771
forest_025,2023-03-16 09:50:44.212763
industrial_area_047,2023-03-16 09:50:48.407016
industrial_area_053,2023-03-16 09:50:53.228069
forest_031,2023-03-16 09:50:56.906517
industrial_area_052,2023-03-16 09:51:00.598153
forest_030,2023-03-16 09:51:04.503242
forest_024,2023-03-16 09:51:08.080659
industrial_area_046,2023-03-16 09:51:12.439965
forest_018,2023-03-16 09:51:16.216867
island_009,2023-03-16 09:51:20.023922
island_021,2023-03-16 09:51:23.845366
island_035,2023-03-16 09:51:27.107389
rectangular_farmland_034,2023-03-16 09:51:31.053319
rectangular_farmland_020,2023-03-16 09:51:35.361055
rectangular_farmland_008,2023-03-16 09:51:39.708118
