image_id,stored_at
stadium_041,2023-03-16 09:43:18.740511
freeway_050,2023-03-16 09:43:22.370997
freeway_044,2023-03-16 09:43:26.359853
rectangular_farmland_041,2023-03-16 09:43:29.589833
island_040,2023-03-16 09:43:32.977668
island_054,2023-03-16 09:43:36.061821
industrial_area_033,2023-03-16 09:43:39.392961
forest_051,2023-03-16 09:43:42.598963
forest_045,2023-03-16 09:43:45.488366
industrial_area_027,2023-03-16 09:43:48.770883
forest_044,2023-03-16 09:43:51.857132
industrial_area_026,2023-03-16 09:43:54.943772
industrial_area_032,2023-03-16 09:43:58.087749
forest_050,2023-03-16 09:44:01.366286
island_041,2023-03-16 09:44:04.273542
rectangular_farmland_040,2023-03-16 09:44:07.544401
rectangular_farmland_054,2023-03-16 09:44:11.129935
freeway_045,2023-03-16 09:44:14.606511
freeway_051,2023-03-16 09:44:18.235758
stadium_054,2023-03-16 09:44:21.394730
stadium_040,2023-03-16 09:44:24.772403
stadium_042,2023-03-16 09:44:27.677984
freeway_047,2023-03-16 09:44:31.058906
freeway_053,2023-03-16 09:44:34.228233
rectangular_farmland_042,2023-03-16 09:44:37.343116
island_043,2023-03-16 09:44:40.720125
industrial_area_018,2023-03-16 09:44:44.183411
industrial_area_024,2023-03-16 09:44:47.153387
forest_046,2023-03-16 09:44:50.350044
forest_052,2023-03-16 09:44:53.678345
industrial_area_030,2023-03-16 09:44:57.131589
forest_053,2023-03-16 09:45:00.410841
industrial_area_031,2023-03-16 09:45:03.813592
industrial_area_025,2023-03-16 09:45:06.711450
forest_047,2023-03-16 09:45:10.012537
industrial_area_019,2023-03-16 09:45:13.624880
island_042,2023-03-16 09:45:17.122754
rectangular_farmland_043,2023-03-16 09:45:21.687014
freeway_052,2023-03-16 09:45:25.009438
freeway_046,2023-03-16 09:45:28.069390
stadium_043,2023-03-16 09:45:31.726349
freeway_042,2023-03-16 09:45:35.467633
stadium_053,2023-03-16 09:45:44.829226
stadium_047,2023-03-16 09:45:48.984275
rectangular_farmland_047,2023-03-16 09:45:52.829004
rectangular_farmland_053,2023-03-16 09:45:56.549101
island_052,2023-03-16 09:46:00.424273
island_046,2023-03-16 09:46:04.008042
forest_043,2023-03-16 09:46:07.552651
industrial_area_021,2023-03-16 09:46:10.842665
industrial_area_035,2023-03-16 09:46:14.486599
industrial_area_009,2023-03-16 09:46:17.898734
industrial_area_008,2023-03-16 09:46:20.992311
industrial_area_034,2023-03-16 09:46:24.642437
forest_042,2023-03-16 09:46:28.057420
industrial_area_020,2023-03-16 09:46:31.422056
island_047,2023-03-16 09:46:34.740462
island_053,2023-03-16 09:46:38.027074
rectangular_farmland_052,2023-03-16 09:46:41.093617
rectangular_farmland_046,2023-03-16 09:46:44.360301
stadium_046,2023-03-16 09:46:48.171782
stadium_052,2023-03-16 09:46:51.664308
freeway_043,2023-03-16 09:46:56.083979
freeway_041,2023-03-16 09:46:59.975678
stadium_044,2023-03-16 09:47:03.228754
stadium_050,2023-03-16 09:47:06.677845
rectangular_farmland_050,2023-03-16 09:47:10.162920
rectangular_farmland_044,2023-03-16 09:47:14.317304
island_045,2023-03-16 09:47:17.929134
island_051,2023-03-16 09:47:21.553764
forest_054,2023-03-16 09:47:28.650856
industrial_area_036,2023-03-16 09:47:31.853488
industrial_area_022,2023-03-16 09:47:36.639014
forest_040,2023-03-16 09:47:40.174996
industrial_area_023,2023-03-16 09:47:43.699259
forest_041,2023-03-16 09:47:47.097949
industrial_area_037,2023-03-16 09:47:50.645742
island_050,2023-03-16 09:47:53.750421
island_044,2023-03-16 09:47:57.491860
rectangular_farmland_045,2023-03-16 09:48:00.975472
rectangular_farmland_051,2023-03-16 09:48:04.474374
stadium_051,2023-03-16 09:48:08.013963
stadium_045,2023-03-16 09:48:11.468655
freeway_040,2023-03-16 09:48:14.637720
freeway_054,2023-03-16 09:48:18.144172
stadium_022,2023-03-16 09:48:22.540333
stadium_036,2023-03-16 09:48:26.219575
freeway_033,2023-03-16 09:48:30.015532
freeway_027,2023-03-16 09:48:33.938491
rectangular_farmland_036,2023-03-16 09:48:38.883849
rectangular_farmland_022,2023-03-16 09:48:42.713650
island_023,2023-03-16 09:48:46.819479
island_037,2023-03-16 09:48:51.361162
forest_032,2023-03-16 09:48:56.321748
industrial_area_050,2023-03-16 09:49:01.431999
industrial_area_044,2023-03-16 09:49:04.873955
forest_026,2023-03-16 09:49:10.090351
industrial_area_045,2023-03-16 09:49:13.863681
forest_027,2023-03-16 09:49:19.173837
forest_033,2023-03-16 09:49:22.973581
industrial_area_051,2023-03-16 09:49:26.649383
island_036,2023-03-16 09:49:30.511310
island_022,2023-03-16 09:49:33.716619
rectangular_farmland_023,2023-03-16 09:49:37.071997
rectangular_farmland_037,2023-03-16 09:49:40.404512
freeway_026,2023-03-16 09:49:44.124060
freeway_032,2023-03-16 09:49:47.412004
stadium_037,2023-03-16 09:49:50.699128
stadium_023,2023-03-16 09:49:53.798059
stadium_035,2023-03-16 09:49:57.188032
freeway_018,2023-03-16 09:50:00.746986
stadium_021,2023-03-16 09:50:04.153583
stadium_009,2023-03-16 09:50:07.693053
